Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2017,12,05,27.3,1,Y
IDCJAC0010,009225,2017,12,06,27.9,1,Y
IDCJAC0010,009225,2017,12,07,29.0,1,Y
IDCJAC0010,009225,2017,12,08,35.2,1,Y
IDCJAC0010,009225,2017,12,09,33.2,1,Y
IDCJAC0010,009225,2017,12,10,37.7,1,Y
IDCJAC0010,009225,2017,12,11,37.6,1,Y
IDCJAC0010,009225,2017,12,12,27.6,1,Y
IDCJAC0010,009225,2017,12,13,25.3,1,Y
IDCJAC0010,009225,2017,12,14,27.6,1,Y
IDCJAC0010,009225,2017,12,15,29.5,1,Y
IDCJAC0010,009225,2017,12,16,27.8,1,Y
IDCJAC0010,009225,2017,12,17,21.9,1,Y
IDCJAC0010,009225,2017,12,18,20.9,1,Y
IDCJAC0010,009225,2017,12,19,23.4,1,Y
IDCJAC0010,009225,2017,12,20,28.9,1,Y
IDCJAC0010,009225,2017,12,21,36.1,1,Y
IDCJAC0010,009225,2017,12,22,31.7,1,Y
IDCJAC0010,009225,2017,12,23,30.5,1,Y
IDCJAC0010,009225,2017,12,24,33.7,1,Y
IDCJAC0010,009225,2017,12,25,32.5,1,Y
IDCJAC0010,009225,2017,12,26,26.4,1,Y
IDCJAC0010,009225,2017,12,27,25.2,1,Y
IDCJAC0010,009225,2017,12,28,25.8,1,Y
IDCJAC0010,009225,2017,12,29,28.3,1,Y
IDCJAC0010,009225,2017,12,30,34.7,1,Y
IDCJAC0010,009225,2017,12,31,32.0,1,Y
